# ============================================================
# station-stats.csv  駅別統計データ（正規データソース）
#
# ■ 運用ルール
#   - このファイルが唯一の正規データ。stationStats.ts は自動生成物。
#   - 空欄 = 未入力。null や 0 を入れない。
#   - データを追加したら git commit してバックアップ。
#   - 収集日は stationStats.ts 側の PARAM_DATA_SOURCES に記録する。
#
# ■ 優先度の目安（上から埋めると効果が高い）
#   高: daily_passengers, avg_rent_1k, avg_rent_1ldk, crime_index, safety_score
#   中: population_density, restaurant_count, supermarket_count, park_area_m2
#   低: morning_congestion, noise_score, green_ratio_pct, coworking_count
#
# ============================================================
# 列定義・収集方法
# ------------------------------------------------------------
#
# [自動生成列 ─ 手動編集不要]
# station_name       : 駅名（routes.ts と一致させること）
# lat / lng          : 緯度・経度（routes.ts から generate-station-stats.ts で生成）
# line_count         : 乗り入れ路線数（同上）
#
# [住居・生活コスト]
# avg_rent_1k        : 1K 平均家賃（万円/月）
#   収集方法          : SUUMO https://suumo.jp/chintai/tokyo/ek_[駅名]/ で「1K」絞り込み
#                       → 掲載物件の賃料一覧から中央値（上下10%除外して目算）
#   精度              : ±1万円程度の概算
#
# avg_rent_1ldk      : 1LDK 平均家賃（万円/月）
#   収集方法          : 同上、「1LDK」絞り込み
#
# population_density : 人口密度（人/km²）
#   収集方法          : 政府統計 e-Stat 国勢調査（令和2年）→ 町丁別人口 / 面積
#                       https://www.e-stat.go.jp/
#   備考              : 駅の行政区画の町丁を合算して駅圏（概ね半径1km）を推計
#
# [交通]
# daily_passengers   : 一日乗降客数（人/日）
#   収集方法          : 各社公表の「駅別乗降人員」を合算
#                       JR東日本  https://www.jreast.co.jp/passenger/
#                       東京メトロ https://www.tokyometro.jp/corporate/enterprise/passenger_rail/transport/
#                       各私鉄    各社 IR・統計ページ
#   備考              : 複数社乗り入れ駅は合算、単位は人/日（千人単位で概算可）
#
# morning_congestion : 朝ラッシュ混雑度（0〜100、高いほど混む）
#   収集方法          : 国土交通省「都市鉄道の混雑率」報告書の混雑率（%）を
#                       100超えの場合は100にクリップ、100未満はそのまま整数値で記録
#                       https://www.mlit.go.jp/toshi/city_transport/toshi_city_transport_tk_000007.html
#
# [飲食・娯楽 ─ 駅出口から半径500m以内の店舗数]
# izakaya_count      : 居酒屋数
# restaurant_count   : 飲食店数（全ジャンル合計）
# cafe_count         : カフェ・喫茶店数
# convenience_store_count : コンビニ数
# ramen_count        : ラーメン専門店数
#   収集方法（上記5列共通）:
#                       Google マップで「駅名 居酒屋（or 飲食店 etc.）」検索
#                       → 地図上の件数を目視でカウント（概数で可）
#                       または Overpass API で OSM データから集計
#                       https://overpass-turbo.eu/
#
# [生活利便性 ─ 半径500m以内]
# supermarket_count  : スーパー数
# hospital_count     : 病院・クリニック数
# bookstore_count    : 書店数
#   収集方法（上記3列共通）: Google マップ or Overpass API（飲食と同様）
#
# [治安]
# crime_index        : 犯罪認知件数（件/年）
#   収集方法          : 警視庁「区市町村の町丁別、罪種別及び手口別認知件数」
#                       https://www.keishicho.metro.tokyo.lg.jp/about_mpd/toukei_sishou/toukei/hanzaitoukei.html
#                       → 駅周辺の町丁を特定して合算
#
# safety_score       : 治安スコア（0〜100、高いほど安全）
#   収集方法          : crime_index を人口で除した犯罪率を 0〜100 に正規化
#                       safety_score = 100 - round((crime_index / population_density) * 正規化係数)
#                       ※ crime_index と population_density が揃ったら算出可能
#
# [環境]
# park_area_m2       : 周辺公園面積合計（m²、半径500m以内）
#   収集方法          : 国土数値情報「都市公園データ」
#                       https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P13.html
#                       → GIS ツール（QGIS 等）で半径500mバッファと重ねて面積合算
#                       または Overpass API: [leisure=park] で検索
#
# noise_score        : 静かさスコア（0〜100、高いほど静か）
#   収集方法          : 推計値。乗降客数・幹線道路密度・飲食店密度から算出
#                       high_noise = (daily_passengers/350000)*40 + (restaurant_count/800)*30 + ...
#                       ※ 直接測定データは環境省の騒音マップ https://www.env.go.jp/air/seikatsu/road_traffic_noise/index.html
#
# green_ratio_pct    : 緑地率（%）
#   収集方法          : 国土数値情報「土地利用細分メッシュ」から農地・森林・公園の割合を算出
#                       または Google Earth Engine で NDVI を用いた植生率推計
#
# [仕事]
# office_count       : オフィスビル棟数（半径500m以内）
# coworking_count    : コワーキングスペース数（半径500m以内）
#   収集方法          : Google マップ or Overpass API（飲食と同様）
#                       コワーキングは「コワーキング 駅名」で検索
#
# ============================================================

station_name,lat,lng,line_count,avg_rent_1k,avg_rent_1ldk,population_density,daily_passengers,morning_congestion,izakaya_count,restaurant_count,cafe_count,convenience_store_count,ramen_count,supermarket_count,hospital_count,bookstore_count,crime_index,safety_score,park_area_m2,noise_score,green_ratio_pct,office_count,coworking_count
荻窪,35.704175,139.619760,2,7.8,13,,,,,,,,,,,,,,,,,,
西荻窪,35.703798,139.599705,1,7.5,12.5,,,,,,,,,,,,,,,,,,
吉祥寺,35.703147,139.579990,2,7.5,13,12000,60000,65,80,250,40,8,15,6,18,4,400,68,880000,55,25,30,5
三鷹,35.702694,139.560708,1,7,11.5,,,,,,,,,,,,,,,,,,
武蔵境,35.702090,139.543555,2,6.8,11.5,,,,,,,,,,,,,,,,,,
東小金井,35.701560,139.523760,1,7.5,12.5,,,,,,,,,,,,,,,,,,
武蔵小金井,35.701035,139.505930,1,7.4,12.5,,,,,,,,,,,,,,,,,,
国分寺,35.700132,139.480558,2,6.5,11,,,,,,,,,,,,,,,,,,
西国分寺,35.699723,139.465770,2,6.7,12.4,,,,,,,,,,,,,,,,,,
国立,35.699195,139.446415,1,6.8,11.5,,,,,,,,,,,,,,,,,,
立川,35.698025,139.413782,3,6.5,11,10000,90000,72,80,250,35,12,20,8,20,4,500,55,30000,45,12,80,6
日野,35.678675,139.393498,2,6.7,11.5,,,,,,,,,,,,,,,,,,
豊田,35.659472,139.381487,1,7.3,12.0,,,,,,,,,,,,,,,,,,
八王子,35.655493,139.338880,3,5.5,9.3,,,,,,,,,,,,,,,,,,
西八王子,35.656275,139.312005,1,6.0,10.5,,,,,,,,,,,,,,,,,,
高尾,35.642375,139.282635,2,5.8,10.0,,,,,,,,,,,,,,,,,,
大宮,35.906435,139.624370,10,6.5,11,,,,,,,,,,,,,,,,,,
さいたま新都心,35.893595,139.633900,3,6.3,10.8,,,,,,,,,,,,,,,,,,
与野,35.884375,139.638990,1,6,10.2,,,,,,,,,,,,,,,,,,
北浦和,35.872200,139.645750,1,6.3,10.8,,,,,,,,,,,,,,,,,,
浦和,35.858565,139.657145,3,6.8,11.5,,,,,,,,,,,,,,,,,,
南浦和,35.847585,139.668940,2,6.3,10.8,,,,,,,,,,,,,,,,,,
蕨,35.827930,139.690415,1,6.5,11,,,,,,,,,,,,,,,,,,
西川口,35.815515,139.704360,1,6.5,11,,,,,,,,,,,,,,,,,,
川口,35.801795,139.717480,2,7,11.8,,,,,,,,,,,,,,,,,,
赤羽,35.777524,139.721260,4,7.5,12.8,,,,,,,,,,,,,,,,,,
東十条,35.763830,139.726745,1,7,11.8,,,,,,,,,,,,,,,,,,
王子,35.754387,139.737411,2,7.5,12.8,,,,,,,,,,,,,,,,,,
上中里,35.746888,139.746286,1,7.5,12.5,,,,,,,,,,,,,,,,,,
大井町,35.607070,139.735013,3,8.5,14.5,,,,,,,,,,,,,,,,,,
大森,35.588850,139.728107,2,7.5,12.8,,,,,,,,,,,,,,,,,,
蒲田,35.562472,139.715983,3,7,11.8,,,,,,,,,,,,,,,,,,
川崎,35.531365,139.696810,3,7,12,16000,130000,80,150,450,50,15,30,10,30,5,900,48,5000,30,5,150,8
鶴見,35.507940,139.675790,2,6.8,11.5,,,,,,,,,,,,,,,,,,
新子安,35.486827,139.654090,1,6.5,11,,,,,,,,,,,,,,,,,,
東神奈川,35.477875,139.633165,2,6.8,11.5,,,,,,,,,,,,,,,,,,
横浜,35.465667,139.622107,9,7,12.5,14000,200000,82,180,550,75,16,35,9,28,5,1000,50,10000,35,6,150,10
桜木町,35.451100,139.630880,3,7.5,12.8,,,,,,,,,,,,,,,,,,
関内,35.444220,139.635987,3,7.5,12.8,,,,,,,,,,,,,,,,,,
石川町,35.438907,139.642917,2,7,11.8,,,,,,,,,,,,,,,,,,
山手,35.426800,139.646470,2,6.5,11,,,,,,,,,,,,,,,,,,
根岸,35.415860,139.636095,3,6.3,10.8,,,,,,,,,,,,,,,,,,
磯子,35.400575,139.618470,2,6,10.2,,,,,,,,,,,,,,,,,,
新杉田,35.386800,139.619435,2,6,10.2,,,,,,,,,,,,,,,,,,
洋光台,35.378810,139.596937,2,6,10.2,,,,,,,,,,,,,,,,,,
港南台,35.375147,139.576177,2,6,10.2,,,,,,,,,,,,,,,,,,
本郷台,35.367855,139.550115,2,5.8,9.8,,,,,,,,,,,,,,,,,,
大船,35.352520,139.531393,5,6,10.2,,,,,,,,,,,,,,,,,,
浅草,35.710737,139.797767,4,8.5,14.5,,,,,,,,,,,,,,,,,,
田原町,35.709907,139.790347,3,10.0,16.5,,,,,,,,,,,,,,,,,,
稲荷町,35.711403,139.782120,2,9.5,16.0,,,,,,,,,,,,,,,,,,
上野広小路,35.707600,139.772967,1,8.5,14.5,,,,,,,,,,,,,,,,,,
末広町,35.702900,139.771700,3,9.0,15.0,,,,,,,,,,,,,,,,,,
三越前,35.684863,139.773438,2,12.0,20.0,,,,,,,,,,,,,,,,,,
日本橋,35.682423,139.773977,3,12.0,20.0,,,,,,,,,,,,,,,,,,
京橋,35.676797,139.770170,7,12.0,20.0,,,,,,,,,,,,,,,,,,
銀座,35.672016,139.763958,3,14.5,25,,,,,,,,,,,,,,,,,,
虎ノ門,35.670160,139.750120,1,13.5,23,,,,,,,,,,,,,,,,,,
溜池山王,35.672933,139.741290,2,13.0,22.0,,,,,,,,,,,,,,,,,,
赤坂見附,35.676833,139.737365,2,13.5,23,,,,,,,,,,,,,,,,,,
青山一丁目,35.672900,139.724100,3,13.5,23,,,,,,,,,,,,,,,,,,
外苑前,35.670400,139.717800,1,14,24,,,,,,,,,,,,,,,,,,
表参道,35.665163,139.712400,3,14,24,,,,,,,,,,,,,,,,,,
新大塚,35.726093,139.729407,1,9.0,15.0,,,,,,,,,,,,,,,,,,
茗荷谷,35.717200,139.736895,1,9.5,16,,,,,,,,,,,,,,,,,,
後楽園,35.707315,139.751060,2,10,17,,,,,,,,,,,,,,,,,,
本郷三丁目,35.706753,139.760110,2,10.5,17.8,,,,,,,,,,,,,,,,,,
淡路町,35.694870,139.767455,1,10.5,17.5,,,,,,,,,,,,,,,,,,
大手町,35.686745,139.764905,6,13.5,23,,,,,,,,,,,,,,,,,,
霞ケ関,35.673875,139.751060,4,13,22,,,,,,,,,,,,,,,,,,
国会議事堂前,35.674845,139.745342,2,13.0,22.0,,,,,,,,,,,,,,,,,,
四谷三丁目,35.687835,139.719325,1,11.5,19.0,,,,,,,,,,,,,,,,,,
新宿御苑前,35.688525,139.710915,1,11.0,18.5,,,,,,,,,,,,,,,,,,
新宿三丁目,35.690284,139.704586,2,11.0,18.0,,,,,,,,,,,,,,,,,,
西新宿,35.694515,139.692560,1,9.5,16.0,,,,,,,,,,,,,,,,,,
中野坂上,35.697100,139.682200,2,8.5,14.0,,,,,,,,,,,,,,,,,,
新中野,35.697475,139.669510,1,8.0,13.5,,,,,,,,,,,,,,,,,,
東高円寺,35.697965,139.658295,1,8.5,14.0,,,,,,,,,,,,,,,,,,
新高円寺,35.697860,139.648510,1,7.5,12.5,,,,,,,,,,,,,,,,,,
南阿佐ケ谷,35.699455,139.635575,1,7.5,12.5,,,,,,,,,,,,,,,,,,
北千住,35.749865,139.805175,6,7.5,12.8,,,,,,,,,,,,,,,,,,
南千住,35.732985,139.798950,4,8,13.5,,,,,,,,,,,,,,,,,,
三ノ輪,35.729285,139.791165,1,7.5,12.5,,,,,,,,,,,,,,,,,,
入谷,35.720675,139.784550,2,8.0,13.5,,,,,,,,,,,,,,,,,,
仲御徒町,35.706655,139.776190,1,8.5,14.0,,,,,,,,,,,,,,,,,,
小伝馬町,35.690364,139.778808,1,11.0,18.0,,,,,,,,,,,,,,,,,,
人形町,35.686100,139.782400,2,11.5,19.0,,,,,,,,,,,,,,,,,,
茅場町,35.680320,139.779337,2,12,20.5,,,,,,,,,,,,,,,,,,
八丁堀,35.674620,139.778190,3,11.5,19.0,,,,,,,,,,,,,,,,,,
築地,35.667985,139.772548,1,12,20.5,,,,,,,,,,,,,,,,,,
東銀座,35.669600,139.767100,2,12.5,21.0,,,,,,,,,,,,,,,,,,
日比谷,35.674208,139.760693,3,13.5,23,,,,,,,,,,,,,,,,,,
虎ノ門ヒルズ,35.667300,139.747700,1,14.0,23.0,,,,,,,,,,,,,,,,,,
神谷町,35.662625,139.744725,1,14.0,23.0,,,,,,,,,,,,,,,,,,
六本木,35.662800,139.731155,2,16,27,,,,,,,,,,,,,,,,,,
広尾,35.651783,139.722193,1,14.5,25,,,,,,,,,,,,,,,,,,
中目黒,35.644188,139.698927,2,12,21,11000,65000,68,60,280,80,6,8,4,15,2,280,72,8000,58,15,50,6
西船橋,35.707203,139.959380,5,7.0,11.5,,,,,,,,,,,,,,,,,,
原木中山,35.703300,139.941915,1,6.6,11.0,,,,,,,,,,,,,,,,,,
妙典,35.690900,139.924200,1,6.7,11.0,,,,,,,,,,,,,,,,,,
行徳,35.682848,139.914463,1,6.5,11.0,,,,,,,,,,,,,,,,,,
南行徳,35.672832,139.902398,1,6.3,10.5,,,,,,,,,,,,,,,,,,
浦安,35.665855,139.893140,1,7.1,11.5,,,,,,,,,,,,,,,,,,
葛西,35.663630,139.872309,1,6.8,11.0,,,,,,,,,,,,,,,,,,
西葛西,35.664600,139.859300,1,7.0,11.5,,,,,,,,,,,,,,,,,,
南砂町,35.668415,139.831695,1,,,,,,,,,,,,,,,,,,,,
東陽町,35.669590,139.817680,1,,,,,,,,,,,,,,,,,,,,
木場,35.669353,139.807123,1,,,,,,,,,,,,,,,,,,,,
門前仲町,35.672752,139.795106,2,9,15.5,,,,,,,,,,,,,,,,,,
竹橋,35.690440,139.757670,1,,,,,,,,,,,,,,,,,,,,
九段下,35.695520,139.751210,3,12,20.5,,,,,,,,,,,,,,,,,,
神楽坂,35.703865,139.734520,1,,,,,,,,,,,,,,,,,,,,
早稲田,35.705680,139.722190,2,,,,,,,,,,,,,,,,,,,,
落合,35.710635,139.685965,2,,,,,,,,,,,,,,,,,,,,
代々木上原,35.668897,139.679632,2,12,20.5,,,,,,,,,,,,,,,,,,
代々木公園,35.669123,139.689650,1,11.5,19.5,,,,,,,,,,,,,,,,,,
明治神宮前,35.668217,139.705250,2,13,22,,,,,,,,,,,,,,,,,,
乃木坂,35.666600,139.726300,1,14,24,,,,,,,,,,,,,,,,,,
赤坂,35.672113,139.736440,3,14.5,25,,,,,,,,,,,,,,,,,,
二重橋前,35.680505,139.761780,1,,,,,,,,,,,,,,,,,,,,
新御茶ノ水,35.696925,139.765450,1,11,18.5,,,,,,,,,,,,,,,,,,
湯島,35.706787,139.769980,1,10.5,17.8,,,,,,,,,,,,,,,,,,
根津,35.717325,139.765750,1,10,17,,,,,,,,,,,,,,,,,,
千駄木,35.725988,139.763375,1,9.5,16,,,,,,,,,,,,,,,,,,
町屋,35.742340,139.781570,2,,,,,,,,,,,,,,,,,,,,
綾瀬,35.762200,139.825000,1,,,,,,,,,,,,,,,,,,,,
北綾瀬,35.776890,139.832095,1,,,,,,,,,,,,,,,,,,,,
亀有,35.766500,139.847500,1,,,,,,,,,,,,,,,,,,,,
金町,35.769510,139.870390,1,,,,,,,,,,,,,,,,,,,,
和光市,35.788350,139.612865,3,7,11.8,,,,,,,,,,,,,,,,,,
地下鉄成増,35.776700,139.631100,2,,,,,,,,,,,,,,,,,,,,
地下鉄赤塚,35.770217,139.643597,2,,,,,,,,,,,,,,,,,,,,
平和台,35.757600,139.654300,3,,,,,,,,,,,,,,,,,,,,
氷川台,35.749620,139.665470,2,,,,,,,,,,,,,,,,,,,,
小竹向原,35.743400,139.679500,2,,,,,,,,,,,,,,,,,,,,
千川,35.738200,139.689400,2,,,,,,,,,,,,,,,,,,,,
要町,35.733215,139.698480,2,,,,,,,,,,,,,,,,,,,,
東池袋,35.725950,139.718865,1,,,,,,,,,,,,,,,,,,,,
護国寺,35.719200,139.727400,1,,,,,,,,,,,,,,,,,,,,
江戸川橋,35.709295,139.734130,1,,,,,,,,,,,,,,,,,,,,
麹町,35.684785,139.737350,1,,,,,,,,,,,,,,,,,,,,
永田町,35.678364,139.739238,3,,,,,,,,,,,,,,,,,,,,
桜田門,35.677442,139.751814,1,,,,,,,,,,,,,,,,,,,,
銀座一丁目,35.674498,139.766815,1,,,,,,,,,,,,,,,,,,,,
新富町,35.670457,139.773773,1,,,,,,,,,,,,,,,,,,,,
月島,35.664600,139.784523,2,10.5,18,,,,,,,,,,,,,,,,,,
豊洲,35.655128,139.796020,2,9.5,16.5,,,,,,,,,,,,,,,,,,
辰巳,35.645700,139.810300,1,,,,,,,,,,,,,,,,,,,,
新木場,35.645995,139.826845,4,,,,,,,,,,,,,,,,,,,,
中央林間,35.507810,139.445115,3,,,,,,,,,,,,,,,,,,,,
つきみ野,35.510517,139.458557,2,,,,,,,,,,,,,,,,,,,,
南町田グランベリーパーク,35.511515,139.470440,2,,,,,,,,,,,,,,,,,,,,
つくし野,35.527065,139.484940,2,,,,,,,,,,,,,,,,,,,,
すずかけ台,35.517097,139.481747,2,,,,,,,,,,,,,,,,,,,,
長津田,35.531633,139.495258,4,7,11.8,,,,,,,,,,,,,,,,,,
田奈,35.535922,139.504593,2,,,,,,,,,,,,,,,,,,,,
青葉台,35.542855,139.517300,2,7.5,12.5,,,,,,,,,,,,,,,,,,
藤が丘,35.543400,139.527580,4,,,,,,,,,,,,,,,,,,,,
市が尾,35.551265,139.541260,2,,,,,,,,,,,,,,,,,,,,
江田,35.558535,139.551410,3,,,,,,,,,,,,,,,,,,,,
あざみ野,35.568780,139.553547,3,8,13.5,,,,,,,,,,,,,,,,,,
たまプラーザ,35.577405,139.558650,2,8,13.5,,,,,,,,,,,,,,,,,,
鷺沼,35.579613,139.573025,2,,,,,,,,,,,,,,,,,,,,
宮前平,35.584960,139.582255,2,,,,,,,,,,,,,,,,,,,,
宮崎台,35.587090,139.590850,2,,,,,,,,,,,,,,,,,,,,
