station_name,lat,lng,line_count,avg_rent_1k,avg_rent_1ldk,population_density,daily_passengers,morning_congestion,izakaya_count,restaurant_count,cafe_count,convenience_store_count,ramen_count,supermarket_count,hospital_count,bookstore_count,crime_index,safety_score,park_area_m2,noise_score,green_ratio_pct,office_count,coworking_count
浦和,35.858565,139.657145,3,6.8,11.5,17800.0,65000.0,76.0,44.0,199.0,16.0,14.0,17.0,3.0,14.0,5.0,540.0,72.0,35500.0,74.0,12.9,157.0,8.0
南浦和,35.847585,139.66894,2,6.3,10.8,18400.0,53000.0,75.0,53.0,175.0,16.0,13.0,12.0,3.0,15.0,3.0,490.0,70.0,35300.0,77.0,14.2,137.0,7.0
蕨,35.82793,139.690415,1,6.5,11.0,18400.0,16000.0,68.0,34.0,142.0,8.0,11.0,9.0,4.0,14.0,1.0,520.0,67.0,56100.0,77.0,11.2,145.0,6.0
西川口,35.815515,139.70436,1,6.5,11.0,18400.0,13000.0,72.0,41.0,147.0,6.0,12.0,14.0,2.0,13.0,1.0,480.0,78.0,27600.0,77.0,12.9,148.0,7.0
川口,35.801795,139.71748,2,7.0,11.8,19400.0,63000.0,78.0,53.0,196.0,11.0,15.0,10.0,3.0,15.0,4.0,500.0,72.0,27000.0,72.0,11.2,160.0,9.0
赤羽,35.777524,139.72126,4,7.5,12.8,18800.0,83000.0,74.0,57.0,267.0,22.0,14.0,26.0,5.0,13.0,5.0,570.0,65.0,31200.0,68.0,9.7,215.0,10.0
東十条,35.76383,139.726745,1,7.0,11.8,19800.0,9000.0,85.0,35.0,164.0,8.0,13.0,16.0,5.0,18.0,0.0,480.0,70.0,53800.0,74.0,9.4,186.0,9.0
王子,35.754387,139.737411,2,7.5,12.8,20100.0,45000.0,76.0,55.0,214.0,13.0,13.0,10.0,3.0,17.0,3.0,540.0,65.0,61400.0,71.0,6.0,197.0,8.0
上中里,35.746888,139.746286,1,7.5,12.5,19000.0,5000.0,77.0,35.0,171.0,2.0,13.0,9.0,3.0,16.0,1.0,490.0,75.0,48300.0,74.0,5.1,169.0,7.0
大井町,35.60707,139.735013,3,8.5,14.5,19500.0,53000.0,86.0,85.0,263.0,20.0,16.0,22.0,4.0,15.0,5.0,590.0,75.0,47200.0,65.0,9.7,213.0,9.0
大森,35.58885,139.728107,2,7.5,12.8,19400.0,35000.0,68.0,51.0,211.0,9.0,13.0,24.0,3.0,16.0,1.0,580.0,64.0,39500.0,70.0,10.4,188.0,10.0
蒲田,35.562472,139.715983,3,7.0,11.8,18500.0,54000.0,75.0,54.0,245.0,20.0,15.0,17.0,3.0,14.0,5.0,550.0,74.0,56500.0,65.0,8.7,196.0,8.0
川崎,35.531365,139.69681,3,7.0,12.0,16000.0,130000.0,80.0,150.0,450.0,50.0,15.0,30.0,10.0,30.0,5.0,900.0,48.0,5000.0,30.0,5.0,150.0,8.0
鶴見,35.50794,139.67579,2,6.8,11.5,17100.0,34000.0,86.0,55.0,185.0,13.0,14.0,19.0,4.0,14.0,1.0,490.0,70.0,38300.0,71.0,10.1,156.0,7.0
新子安,35.486827,139.65409,1,6.5,11.0,15200.0,12000.0,73.0,32.0,140.0,8.0,12.0,11.0,2.0,11.0,1.0,440.0,81.0,33900.0,80.0,14.6,134.0,7.0
東神奈川,35.477875,139.633165,2,6.8,11.5,17000.0,45000.0,95.0,36.0,164.0,10.0,11.0,9.0,2.0,12.0,2.0,490.0,82.0,36000.0,77.0,12.2,143.0,6.0
横浜,35.465667,139.622107,9,7.0,12.5,14000.0,200000.0,82.0,180.0,550.0,75.0,16.0,35.0,9.0,28.0,5.0,1000.0,50.0,10000.0,35.0,6.0,150.0,10.0
桜木町,35.4511,139.63088,3,7.5,12.8,17300.0,74000.0,84.0,53.0,205.0,17.0,13.0,13.0,4.0,15.0,4.0,500.0,79.0,22200.0,71.0,18.2,142.0,8.0
関内,35.44422,139.635987,3,7.5,12.8,17000.0,60000.0,66.0,46.0,172.0,18.0,13.0,15.0,4.0,13.0,3.0,520.0,69.0,55900.0,71.0,15.3,144.0,8.0
石川町,35.438907,139.642917,2,7.0,11.8,15900.0,48000.0,79.0,38.0,156.0,10.0,12.0,9.0,5.0,14.0,3.0,480.0,72.0,21100.0,69.0,14.6,131.0,7.0
山手,35.4268,139.64647,2,6.5,11.0,17200.0,32000.0,87.0,45.0,146.0,14.0,14.0,9.0,3.0,14.0,2.0,460.0,80.0,18300.0,78.0,18.6,131.0,6.0
根岸,35.41586,139.636095,3,6.3,10.8,15100.0,60000.0,84.0,46.0,169.0,21.0,12.0,10.0,4.0,11.0,5.0,440.0,79.0,19200.0,71.0,16.3,138.0,7.0
磯子,35.400575,139.61847,2,6.0,10.2,14800.0,56000.0,75.0,28.0,115.0,14.0,11.0,13.0,4.0,12.0,3.0,400.0,71.0,52700.0,74.0,19.5,88.0,4.0
新杉田,35.3868,139.619435,2,6.0,10.2,14300.0,31000.0,73.0,49.0,144.0,12.0,12.0,14.0,5.0,10.0,1.0,450.0,81.0,58900.0,72.0,16.2,116.0,4.0
洋光台,35.37881,139.596937,2,6.0,10.2,15200.0,25000.0,85.0,36.0,112.0,13.0,10.0,11.0,5.0,11.0,1.0,380.0,72.0,38600.0,80.0,20.3,74.0,4.0
港南台,35.375147,139.576177,2,6.0,10.2,14300.0,28000.0,80.0,29.0,102.0,9.0,11.0,11.0,5.0,11.0,3.0,370.0,80.0,24300.0,76.0,18.2,71.0,3.0
本郷台,35.367855,139.550115,2,5.8,9.8,13500.0,31000.0,92.0,37.0,112.0,13.0,11.0,6.0,3.0,12.0,1.0,380.0,73.0,17900.0,81.0,19.3,85.0,4.0
大船,35.35252,139.531393,5,6.0,10.2,14800.0,136000.0,66.0,48.0,208.0,33.0,16.0,23.0,5.0,12.0,9.0,490.0,70.0,36300.0,58.0,23.2,118.0,6.0
浅草,35.710737,139.797767,4,8.5,14.5,19100.0,125000.0,73.0,94.0,305.0,30.0,18.0,32.0,3.0,13.0,8.0,660.0,74.0,62900.0,55.0,3.8,252.0,11.0
田原町,35.709907,139.790347,3,11.2,19.2,19900.0,59000.0,66.0,59.0,241.0,15.0,13.0,22.0,5.0,18.0,3.0,550.0,68.0,33500.0,70.0,5.5,223.0,11.0
稲荷町,35.711403,139.78212,2,10.9,18.6,18600.0,38000.0,70.0,69.0,212.0,13.0,12.0,21.0,5.0,14.0,3.0,500.0,64.0,54400.0,70.0,8.6,229.0,12.0
上野広小路,35.7076,139.772967,1,11.2,19.0,19400.0,5000.0,94.0,55.0,178.0,3.0,11.0,18.0,4.0,13.0,0.0,560.0,67.0,43500.0,78.0,4.0,192.0,10.0
末広町,35.7029,139.7717,3,11.0,18.9,20100.0,67000.0,90.0,86.0,282.0,20.0,17.0,17.0,3.0,16.0,4.0,660.0,62.0,33200.0,62.0,4.4,216.0,9.0
三越前,35.684863,139.773438,2,11.0,19.2,20800.0,28000.0,76.0,54.0,213.0,8.0,13.0,15.0,2.0,16.0,1.0,580.0,70.0,40000.0,76.0,7.1,208.0,9.0
日本橋,35.682423,139.773977,3,11.2,18.6,19300.0,73000.0,85.0,84.0,269.0,20.0,17.0,16.0,5.0,15.0,3.0,550.0,76.0,40600.0,70.0,6.1,227.0,12.0
京橋,35.676797,139.77017,7,13.0,22.0,19100.0,87000.0,65.0,119.0,415.0,37.0,15.0,22.0,6.0,15.0,10.0,760.0,74.0,50600.0,58.0,5.8,315.0,15.0
銀座,35.672016,139.763958,3,14.5,25.0,18700.0,49000.0,73.0,54.0,272.0,15.0,14.0,13.0,6.0,17.0,4.0,560.0,68.0,51500.0,70.0,4.3,234.0,11.0
虎ノ門,35.67016,139.75012,1,13.5,23.0,19500.0,11000.0,80.0,50.0,179.0,3.0,14.0,12.0,5.0,18.0,2.0,580.0,72.0,77400.0,78.0,7.2,216.0,11.0
溜池山王,35.672933,139.74129,2,10.8,17.8,19600.0,59000.0,65.0,75.0,238.0,14.0,15.0,15.0,2.0,17.0,3.0,560.0,74.0,71000.0,64.0,5.1,204.0,11.0
赤坂見附,35.676833,139.737365,2,13.5,23.0,18300.0,27000.0,69.0,73.0,214.0,12.0,14.0,15.0,5.0,15.0,1.0,520.0,67.0,63800.0,75.0,4.3,213.0,11.0
青山一丁目,35.6729,139.7241,3,13.5,23.0,20500.0,62000.0,88.0,61.0,256.0,20.0,15.0,23.0,3.0,14.0,5.0,590.0,64.0,46100.0,69.0,5.8,215.0,10.0
外苑前,35.6704,139.7178,1,14.0,24.0,20200.0,9000.0,74.0,53.0,180.0,4.0,14.0,20.0,2.0,16.0,1.0,590.0,74.0,53500.0,73.0,9.2,213.0,9.0
表参道,35.665163,139.7124,3,14.0,24.0,20200.0,59000.0,92.0,54.0,238.0,17.0,14.0,20.0,5.0,18.0,3.0,590.0,66.0,40100.0,66.0,8.1,216.0,11.0
新大塚,35.726093,139.729407,1,10.9,18.4,17800.0,18000.0,81.0,42.0,161.0,7.0,13.0,16.0,4.0,15.0,1.0,440.0,76.0,34400.0,74.0,4.5,187.0,10.0
茗荷谷,35.7172,139.736895,1,9.5,16.0,19500.0,9000.0,84.0,47.0,182.0,8.0,13.0,16.0,5.0,18.0,2.0,520.0,75.0,73600.0,80.0,5.1,187.0,9.0
後楽園,35.707315,139.75106,2,10.0,17.0,20300.0,44000.0,89.0,80.0,231.0,15.0,16.0,24.0,2.0,18.0,2.0,600.0,68.0,62700.0,73.0,6.2,235.0,11.0
本郷三丁目,35.706753,139.76011,2,10.5,17.8,18300.0,47000.0,95.0,74.0,225.0,15.0,15.0,20.0,3.0,14.0,4.0,520.0,73.0,72700.0,70.0,5.6,227.0,12.0
淡路町,35.69487,139.767455,1,11.2,18.6,20100.0,11000.0,74.0,65.0,202.0,8.0,13.0,18.0,4.0,18.0,1.0,550.0,77.0,42100.0,71.0,7.1,217.0,11.0
大手町,35.686745,139.764905,6,13.5,23.0,19200.0,145000.0,93.0,127.0,380.0,38.0,17.0,37.0,5.0,16.0,8.0,650.0,75.0,73700.0,56.0,3.2,267.0,14.0
霞ケ関,35.673875,139.75106,4,13.0,22.0,18500.0,113000.0,81.0,78.0,323.0,30.0,18.0,24.0,5.0,17.0,6.0,580.0,69.0,34600.0,59.0,4.9,252.0,12.0
国会議事堂前,35.674845,139.745342,2,11.4,19.6,19100.0,68000.0,73.0,68.0,203.0,17.0,13.0,10.0,3.0,15.0,3.0,550.0,74.0,65900.0,70.0,4.0,219.0,10.0
四谷三丁目,35.687835,139.719325,1,10.8,18.4,18500.0,11000.0,91.0,49.0,190.0,5.0,11.0,15.0,5.0,14.0,2.0,530.0,74.0,66000.0,75.0,3.9,208.0,9.0
新宿御苑前,35.688525,139.710915,1,10.3,17.4,17700.0,8000.0,90.0,47.0,181.0,6.0,13.0,19.0,4.0,13.0,2.0,480.0,75.0,50900.0,80.0,10.0,189.0,9.0
新宿三丁目,35.690284,139.704586,2,10.3,17.0,18900.0,31000.0,81.0,57.0,211.0,12.0,15.0,23.0,5.0,16.0,3.0,500.0,64.0,66500.0,71.0,8.9,201.0,11.0
西新宿,35.694515,139.69256,1,10.5,17.5,18600.0,15000.0,67.0,61.0,177.0,7.0,14.0,17.0,3.0,14.0,0.0,540.0,76.0,43700.0,72.0,7.2,179.0,8.0
中野坂上,35.6971,139.6822,2,9.7,16.8,18400.0,61000.0,79.0,57.0,198.0,15.0,15.0,21.0,2.0,16.0,4.0,530.0,69.0,38200.0,72.0,10.4,181.0,8.0
新中野,35.697475,139.66951,1,10.3,18.0,20000.0,13000.0,74.0,40.0,148.0,6.0,12.0,8.0,5.0,18.0,1.0,490.0,64.0,63100.0,79.0,8.6,165.0,8.0
東高円寺,35.697965,139.658295,1,9.7,16.2,19600.0,18000.0,95.0,46.0,153.0,9.0,11.0,9.0,5.0,15.0,2.0,540.0,78.0,72200.0,79.0,11.6,187.0,8.0
新高円寺,35.69786,139.64851,1,9.6,16.4,18400.0,15000.0,89.0,42.0,172.0,3.0,11.0,8.0,4.0,17.0,2.0,520.0,66.0,55700.0,77.0,9.4,168.0,8.0
南阿佐ケ谷,35.699455,139.635575,1,9.3,15.8,18400.0,6000.0,92.0,44.0,150.0,5.0,11.0,9.0,5.0,17.0,2.0,470.0,69.0,70200.0,80.0,11.0,159.0,6.0
北千住,35.749865,139.805175,6,7.5,12.8,18500.0,135000.0,88.0,131.0,378.0,37.0,20.0,36.0,3.0,14.0,9.0,680.0,64.0,42000.0,58.0,7.1,252.0,12.0
南千住,35.732985,139.79895,4,8.0,13.5,18900.0,145000.0,74.0,75.0,285.0,26.0,18.0,18.0,3.0,14.0,7.0,600.0,77.0,36700.0,53.0,6.9,244.0,13.0
三ノ輪,35.729285,139.791165,1,10.7,18.7,18600.0,6000.0,66.0,32.0,153.0,3.0,13.0,14.0,5.0,16.0,2.0,500.0,69.0,69900.0,78.0,5.2,208.0,11.0
入谷,35.720675,139.78455,2,11.0,18.2,20100.0,64000.0,92.0,67.0,210.0,11.0,16.0,16.0,2.0,15.0,3.0,530.0,65.0,49700.0,69.0,4.3,216.0,9.0
仲御徒町,35.706655,139.77619,1,11.3,19.3,18600.0,12000.0,95.0,48.0,185.0,7.0,13.0,13.0,2.0,17.0,0.0,560.0,67.0,52900.0,77.0,4.2,200.0,11.0
小伝馬町,35.690364,139.778808,1,11.1,18.7,19100.0,11000.0,65.0,45.0,173.0,2.0,11.0,12.0,2.0,13.0,1.0,510.0,77.0,73100.0,78.0,7.0,189.0,8.0
人形町,35.6861,139.7824,2,11.3,18.7,18600.0,63000.0,70.0,69.0,214.0,13.0,13.0,24.0,4.0,14.0,2.0,590.0,71.0,73600.0,74.0,5.5,238.0,12.0
茅場町,35.68032,139.779337,2,12.0,20.5,19500.0,59000.0,85.0,71.0,244.0,14.0,15.0,27.0,4.0,16.0,3.0,630.0,76.0,72900.0,65.0,6.5,213.0,10.0
八丁堀,35.67462,139.77819,3,11.4,19.4,19900.0,60000.0,72.0,66.0,273.0,20.0,16.0,30.0,4.0,15.0,5.0,580.0,66.0,33600.0,63.0,6.0,229.0,12.0
築地,35.667985,139.772548,1,12.0,20.5,19300.0,15000.0,87.0,68.0,204.0,9.0,13.0,17.0,5.0,13.0,0.0,500.0,74.0,75400.0,71.0,6.7,226.0,12.0
東銀座,35.6696,139.7671,2,11.2,19.1,21000.0,67000.0,86.0,61.0,227.0,15.0,14.0,22.0,4.0,19.0,3.0,580.0,63.0,35800.0,64.0,4.2,225.0,10.0
日比谷,35.674208,139.760693,3,13.5,23.0,19300.0,59000.0,87.0,65.0,254.0,20.0,16.0,21.0,3.0,16.0,4.0,600.0,70.0,37700.0,64.0,6.4,251.0,13.0
虎ノ門ヒルズ,35.6673,139.7477,1,11.5,20.0,19100.0,18000.0,68.0,56.0,180.0,6.0,12.0,13.0,4.0,17.0,2.0,550.0,74.0,55600.0,75.0,6.9,220.0,10.0
神谷町,35.662625,139.744725,1,11.5,20.0,19600.0,17000.0,74.0,64.0,193.0,4.0,13.0,15.0,3.0,15.0,1.0,500.0,67.0,56900.0,75.0,8.7,206.0,11.0
